symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
POWI,power-semi,2024-06-11,72.45,2024-06-13,72.02,-0.006017664226382502,2,0.010243033198135132,-0.016260697424517634,False
POWI,power-semi,2024-07-11,71.94,2024-07-19,69.62,-0.03218858039748018,8,-0.013459374493250631,-0.01872920590422955,False
POWI,power-semi,2024-07-22,72.6,2024-07-24,69.94,-0.03656755457631433,2,-0.02419578739706718,-0.01237176717924715,False
POWI,power-semi,2025-02-20,65.03,2025-02-21,63.14,-0.029085415814152582,1,-0.017104082781476126,-0.011981333032676456,False
POWI,power-semi,2025-07-02,58.13,2025-07-07,55.46,-0.045969199480747625,5,0.00037063664880188085,-0.046339836129549505,False
POWI,power-semi,2025-07-08,57.24,2025-07-14,55.67,-0.02746314931483751,6,0.007205676112102211,-0.03466882542693972,False
POWI,power-semi,2026-01-21,45.34,2026-01-23,44.18,-0.025410703578366278,2,0.005587905144107008,-0.030998608722473286,False
DLR,dc-reit,2024-03-27,135.44,2025-02-24,153.87,0.1360752498583262,334,0.1525834860835067,-0.016508236225180495,False
DLR,dc-reit,2025-05-01,157.29,2025-08-14,162.63,0.0339556408029178,105,0.15826591050962557,-0.12431026970670778,False
DLR,dc-reit,2025-09-10,170.14,2025-11-12,161.5,-0.050775501403973244,63,0.05069634270963608,-0.10147184411360932,False
DLR,dc-reit,2026-01-29,166.31,2026-02-03,163.34,-0.017857192009129497,5,-0.00649813261358001,-0.011359059395549487,False
DLR,dc-reit,2026-02-04,165.66,2026-02-05,163.54,-0.012830452212234777,1,-0.012489211256201727,-0.00034124095603305094,False
EQIX,dc-reit,2024-05-14,752.59,2024-05-23,735.29,-0.022988053634439454,9,0.005083366347894858,-0.02807141998233431,False
EQIX,dc-reit,2024-07-11,764.28,2024-07-25,736.99,-0.03571085176353339,14,-0.032471713867708085,-0.003239137895825306,False
EQIX,dc-reit,2024-07-31,757.04,2024-08-05,735.97,-0.027839638265701905,5,-0.060692485350710035,0.03285284708500813,False
EQIX,dc-reit,2024-08-08,775.47,2025-03-10,807.81,0.04170017291150652,214,0.06320924196144007,-0.02150906904993355,False
EQIX,dc-reit,2025-05-02,851.79,2025-05-08,837.34,-0.016966415414274127,6,-0.0029993835883306286,-0.013967031825943499,False
EQIX,dc-reit,2025-05-16,851.86,2025-05-20,851.83,-3.424853098521474e-05,4,-0.0022719917382119093,0.0022377432072266945,False
EQIX,dc-reit,2025-05-27,857.31,2025-06-25,805.98,-0.05987614865635493,29,0.030051283304463272,-0.0899274319608182,False
EQIX,dc-reit,2025-10-23,818.39,2025-10-28,802.85,-0.01899193170678737,5,0.02277599686105436,-0.04176792856784173,False
EQIX,dc-reit,2025-10-30,819.6,2025-11-05,808.74,-0.013250686364478903,6,-0.0033097152548745568,-0.009940971109604346,False
EQIX,dc-reit,2025-11-10,814.65,2025-11-11,807.68,-0.008561437673007988,1,0.0022892399865568347,-0.010850677659564822,False
EQIX,dc-reit,2026-01-09,792.09,2026-01-12,775.77,-0.020603475278488048,3,0.0015704538117717881,-0.022173929090259836,False
EQIX,dc-reit,2026-01-13,793.04,2026-01-20,776.11,-0.021352578019079527,7,-0.023336306223573744,0.0019837282044942173,False
